gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,51,yes,DSL,month to month,yes,Electronic check,88.51,4426.13,yes
Female,0,21,yes,Fiber optic,Month-to-month,yes,Electronic check,93.95,2338.650806,yes
Male,0,54,yes,Fiber optic,Month-to-month,yes,Mailed check,63.47,3461.16,no
Male,0,36,yes,DSL,One year,yes,Mailed check,64.96,2333.55,no
Female,0,50,yes,DSL,Month-to-month,yes,Credit card,63.9,3175.58,no
Female,0,49,yes,No,One year,yes,Credit card,43.51,2161.48,no
Male,0,15,yes,No,Month-to-month,no,Bank transfer,87.75,1354.15,no
Female,0,20,yes,DSL,One year,no,Electronic check,91.28,1855.03,no
Female,1,71,yes,fiberoptic,Month-to-month,no,Electronic check,43.61,3122.63,no
Male,1,28,no,fiberoptic,Month-to-month,yes,Mailed check,98.7,2631.43,no
Male,0,12,yes,DSL,monthly,yes,Mailed check,84.55,1029.58,no
Female,0,39,yes,Fiber optic,One year,yes,Credit card,54.75,2055.12,no
Female,0,12,yes,No,Month-to-month,yes,Credit card,49.59,574.71,no
Male,0,32,yes,Fiber optic,One year,yes,Bank transfer,42.49,1399.76,no
Female,0,2,yes,Fiber optic,One year,no,Mailed check,90.61,180.63,no
Male,0,29,yes,Fiber optic,One year,no,Electronic check,24.06,2338.650806,no
Female,0,63,yes,No,One year,yes,Bank transfer,37.88,2316.38,no
Male,0,21,yes,DSL,Month-to-month,no,Mailed check,108.73,2248.53,yes
Female,1,11,yes,fibre optic,One year,yes,Electronic check,49.81,556.68,no
Male,0,50,yes,DSL,month to month,yes,Credit card,28.55,1371.58,yes
Male,1,40,no,DSL,Month-to-month,no,Electronic check,67.69,2837.27,yes
Male,0,36,yes,Fiber optic,monthly,no,Mailed check,43.36,1606.35,no
Male,1,5,yes,No,Two year,no,Electronic check,82.18,2338.650806,no
Male,0,70,yes,No,One year,no,Electronic check,101.39,6931.34,yes
Male,0,68,yes,Fiber optic,Month-to-month,no,Electronic check,50.18,3443.03,no
Male,1,54,yes,Fiber optic,Month-to-month,no,Credit card,20.74,1161.44,no
Male,0,64,yes,No,Two year,yes,Mailed check,90.38,5540.13,no
Male,0,28,yes,DSL,Month-to-month,yes,Electronic check,59.23,1584.18,yes
Female,0,41,yes,DSL,One year,yes,Electronic check,84.05,3433.08,no
Female,0,42,yes,DSL,Month-to-month,yes,Electronic check,57.41,2387.31,yes
Male,0,35,yes,fiberoptic,Month-to-month,no,Credit card,26,929.57,no
Male,0,7,yes,Fiber optic,Month-to-month,yes,Electronic check,96.19,671.92,yes
Female,0,36,yes,DSL,One year,yes,Bank transfer,88.35,2338.650806,yes
Male,0,5,yes,Fiber optic,One year,no,Mailed check,102.82,2338.650806,no
Male,0,20,yes,DSL,One year,no,Mailed check,107.79,2160.29,no
Female,0,41,yes,Fiber optic,Month-to-month,yes,Electronic check,24.35,1023.89,no
Female,0,36,yes,DSL,Month-to-month,no,Electronic check,64.53,2383.11,no
Female,0,19,yes,Fiber optic,One year,yes,Mailed check,93.57,1791.09,yes
Male,0,13,yes,DSL,Month-to-month,no,Bank transfer,30.4,408.12,yes
Male,0,59,yes,Fiber optic,Month-to-month,yes,Electronic check,64.7,3827.82,no
Female,0,62,yes,DSL,One year,no,Electronic check,100.61,6436.38,no
Male,1,45,yes,Fiber optic,month to month,no,Electronic check,20.75,963.94,no
Male,0,37,yes,DSL,One year,yes,Bank transfer,62.05,2400.67,no
Male,0,68,yes,No,Month-to-month,yes,Electronic check,64.74,4411.12,yes
Female,1,34,yes,Fiber optic,Two year,yes,Electronic check,31.4,1070.82,no
Female,0,10,yes,DSL,monthly,yes,Mailed check,92.93,969.71,no
Female,0,12,yes,DSL,Two year,yes,Bank transfer,22.73,266.58,no
Male,0,6,yes,No,Month-to-month,no,Bank transfer,94.67,574.53,yes
Male,0,41,yes,Fiber optic,Month-to-month,yes,Credit card,92.9,3723.41,no
Female,0,24,yes,Fiber optic,Month-to-month,yes,Mailed check,50.97,1247.96,no
Female,0,35,yes,DSL,Two year,yes,Electronic check,57.76,1922.09,no
Female,0,45,yes,DSL,Two year,yes,Mailed check,97.67,4283.21,no
Female,1,12,no,Fiber optic,Month-to-month,yes,Electronic check,29.3,360.65,yes
Male,1,27,yes,DSL,Two year,yes,Bank transfer,43.33,1182.51,no
Male,1,57,yes,DSL,One year,yes,Credit card,51.12,2849.17,no
Female,0,46,yes,Fiber optic,Month-to-month,yes,Electronic check,82.03,2338.650806,no
Female,0,21,yes,Fiber optic,Two year,no,Electronic check,63.21,2338.650806,no
Male,0,45,yes,DSL,monthly,yes,Mailed check,79.34,3613.8,yes
Male,1,11,yes,Fiber optic,Two year,yes,Electronic check,55.17,608.96,no
Male,0,41,yes,Fiber optic,Two year,no,Bank transfer,85.74,3520.08,no
Female,0,1,yes,DSL,One year,no,Mailed check,98.22,99.36,no
Female,1,21,yes,DSL,Month-to-month,no,Bank transfer,49.21,2338.650806,yes
Female,0,22,yes,DSL,One year,yes,Electronic check,31.69,680.88,no
Male,0,61,yes,DSL,Month-to-month,no,Credit card,36.26,2180.22,no
Male,0,24,yes,fibre optic,Month-to-month,no,Credit card,99.9,2431.5,no
Male,0,66,yes,No,Month-to-month,yes,Credit card,55.1,3511.38,no
Male,1,35,yes,fiberoptic,Month-to-month,yes,Electronic check,90.78,3273.5,yes
Female,0,18,yes,DSL,monthly,yes,Credit card,30.09,552.4,no
Male,0,65,yes,DSL,Two year,yes,Credit card,20.78,1303.87,yes
Female,0,35,no,Fiber optic,Two year,no,Electronic check,38.34,1407.68,no
Male,0,50,yes,No,Month-to-month,yes,Electronic check,62.19,3107.33,no
Male,0,64,yes,No,Month-to-month,no,Credit card,88.63,5556.38,yes
Female,0,42,yes,Fiber optic,Month-to-month,no,Credit card,76.46,3282.47,yes
Female,0,16,yes,No,Month-to-month,no,Bank transfer,63.88,1008.12,no
Female,0,51,yes,Fiber optic,Two year,no,Mailed check,33.78,1667.31,no
Female,0,38,yes,DSL,One year,yes,Bank transfer,21.68,795.29,no
Male,1,39,yes,DSL,One year,yes,Bank transfer,73.53,2769.99,no
Male,0,37,yes,DSL,Month-to-month,no,Credit card,74.79,2891.9,yes
Female,1,5,yes,DSL,Month-to-month,yes,Mailed check,43.96,223.35,no
Female,0,66,yes,fibre optic,Month-to-month,yes,Electronic check,22.26,1516.95,no
Female,0,11,yes,DSL,Month-to-month,yes,Electronic check,83.53,883.14,no
Female,1,30,yes,Fiber optic,One year,no,Electronic check,75.42,2256.96,no
Female,1,19,yes,DSL,Month-to-month,yes,Bank transfer,106.37,2062.25,yes
Female,0,8,yes,Fiber optic,monthly,yes,Credit card,33.98,258.68,no
Male,0,1,yes,Fiber optic,Month-to-month,no,Bank transfer,20.65,2338.650806,no
Male,1,30,yes,Fiber optic,Two year,yes,Electronic check,23.13,671.6,no
Female,0,65,yes,Fiber optic,One year,no,Bank transfer,63.15,4224.28,no
Female,1,64,yes,Fiber optic,monthly,yes,Credit card,108.37,7042.88,no
Male,1,66,yes,No,Month-to-month,no,Mailed check,87.75,5750.49,no
Female,0,48,yes,DSL,One year,no,Mailed check,51.08,2390.74,no
Female,0,47,yes,Fiber optic,One year,no,Mailed check,62.33,2882.38,no
Male,0,67,yes,DSL,Two year,yes,Bank transfer,101.7,6688.38,no
Female,0,42,yes,No,One year,yes,Mailed check,109.2,4673.4,no
Male,0,25,yes,DSL,Two year,yes,Electronic check,88.78,2278.45,yes
Male,0,66,yes,DSL,month to month,yes,Mailed check,21.65,1455.67,yes
Male,0,1,yes,Fiber optic,Month-to-month,yes,Credit card,66.08,63.34,no
Male,0,56,yes,fiberoptic,Month-to-month,yes,Mailed check,50.74,2721.76,no
Female,0,34,yes,Fiber optic,One year,yes,Bank transfer,91.45,3254.22,no
Female,1,57,yes,DSL,Two year,no,Mailed check,56.72,3176.48,no
Female,0,14,yes,DSL,Month-to-month,yes,Credit card,91.72,1327.86,no
Male,0,55,yes,Fiber optic,Month-to-month,no,Credit card,43.52,2417.85,yes
Male,0,68,yes,DSL,One year,yes,Bank transfer,85.54,5770.7,no
Male,0,30,yes,fibre optic,Two year,yes,Credit card,52.25,1545.21,no
Male,0,49,yes,DSL,One year,yes,Electronic check,72.76,2338.650806,no
Male,0,37,no,DSL,Two year,no,Credit card,64.97,2317.54,no
Male,0,45,yes,DSL,month to month,yes,Bank transfer,103.69,4713.72,no
Female,0,34,yes,DSL,Month-to-month,no,Credit card,45.38,1512.8,yes
Female,0,28,yes,DSL,One year,yes,Credit card,55.86,1543.6,no
Male,0,51,yes,No,One year,yes,Electronic check,94.09,4667.99,no
Female,0,13,no,No,Month-to-month,yes,Electronic check,29.2,376.68,no
Female,0,68,no,DSL,Month-to-month,yes,Bank transfer,30.3,2043.89,no
Male,0,62,yes,Fiber optic,Month-to-month,yes,Credit card,50.77,3249.33,no
Male,1,33,yes,Fiber optic,monthly,yes,Bank transfer,63.08,2053.24,no
Female,1,57,yes,DSL,Month-to-month,yes,Electronic check,100.83,5462.11,no
Female,0,2,yes,fiberoptic,One year,no,Electronic check,33.36,67.3,no
Male,0,62,yes,DSL,One year,no,Electronic check,31.29,1979.62,no
Male,0,57,yes,DSL,Two year,yes,Electronic check,93.82,5577.89,no
Male,0,43,yes,DSL,Month-to-month,yes,Credit card,46.79,2338.650806,no
Male,1,63,yes,DSL,Month-to-month,no,Electronic check,67.1,4052.65,no
Male,1,48,yes,Fiber optic,Month-to-month,no,Electronic check,80.23,3733.86,yes
Male,0,50,yes,DSL,Two year,yes,Mailed check,92.42,4584.56,no
Male,0,70,yes,Fiber optic,One year,yes,Electronic check,60.7,4077.15,no
Male,0,49,yes,No,Month-to-month,yes,Mailed check,58.1,2777.46,yes
Female,0,67,yes,Fiber optic,Month-to-month,no,Credit card,29.49,1926.41,no
Male,0,31,yes,Fiber optic,Month-to-month,yes,Bank transfer,39.2,1184.52,yes
Female,0,25,yes,DSL,Month-to-month,yes,Bank transfer,40.73,977.73,yes
Male,0,68,yes,No,Month-to-month,no,Bank transfer,95.07,6505.26,yes
Female,0,42,yes,DSL,Month-to-month,no,Bank transfer,87.84,3790.24,no
Male,0,22,yes,fibre optic,Month-to-month,yes,Electronic check,25.02,529.58,no
Male,0,60,yes,DSL,One year,no,Mailed check,99.19,5988.29,no
Male,0,67,yes,DSL,One year,no,Credit card,86.07,5519.49,no
Female,0,8,yes,fibre optic,Month-to-month,yes,Credit card,41.63,342.05,yes
Female,0,28,yes,DSL,Month-to-month,yes,Credit card,94.9,2567.63,no
Male,0,44,yes,No,One year,yes,Mailed check,68.92,3180.82,no
Male,0,20,yes,No,Month-to-month,yes,Mailed check,104.79,2338.650806,yes
Male,1,9,no,DSL,One year,yes,Bank transfer,78.61,709.75,no
Female,0,33,yes,Fiber optic,Month-to-month,no,Credit card,85.74,2836,no
Female,1,50,yes,No,One year,yes,Bank transfer,71.48,2338.650806,no
Male,1,28,yes,DSL,Month-to-month,no,Electronic check,50.43,2338.650806,no
Male,0,6,yes,No,Month-to-month,no,Electronic check,46.44,280.43,no
Female,1,62,no,DSL,Month-to-month,yes,Electronic check,47.88,2338.650806,no
Male,1,12,no,Fiber optic,Month-to-month,no,Mailed check,25.62,308.43,yes
Female,0,26,yes,Fiber optic,Month-to-month,yes,Electronic check,45.88,1224.87,yes
Female,1,42,no,Fiber optic,Month-to-month,yes,Bank transfer,48.53,1973.11,no
Male,0,69,yes,DSL,Month-to-month,yes,Credit card,47.8,3371.28,yes
Male,1,51,yes,Fiber optic,Month-to-month,yes,Electronic check,25.75,2338.650806,yes
Female,0,70,yes,Fiber optic,Two year,yes,Mailed check,56.42,2338.650806,no
Female,0,4,yes,No,Month-to-month,no,Bank transfer,52.56,211.22,yes
Female,0,29,yes,No,One year,no,Credit card,58.12,1669.34,no
Male,0,65,yes,DSL,One year,yes,Credit card,107.19,6768.86,no
Male,0,33,yes,DSL,Month-to-month,no,Credit card,31.7,1097.31,yes
Male,0,35,yes,nan,Month-to-month,no,Electronic check,98.29,3340.54,yes
Male,0,61,yes,Fiber optic,Month-to-month,yes,Mailed check,60.06,3534.53,yes
Female,0,21,yes,No,One year,yes,Electronic check,29.16,602.48,no
Male,1,39,yes,Fiber optic,month to month,yes,Electronic check,100.37,3891.38,no
Male,1,51,no,DSL,Month-to-month,no,Credit card,81.82,2338.650806,no
Female,0,46,no,DSL,month to month,yes,Credit card,54.65,2408.23,yes
Female,0,28,yes,No,Month-to-month,yes,Electronic check,63.11,1744.7,yes
Female,0,16,yes,DSL,Month-to-month,yes,Electronic check,37.71,611.46,no
Male,0,39,yes,Fiber optic,monthly,yes,Electronic check,58.58,2377.47,yes
Female,0,71,yes,nan,Two year,no,Bank transfer,30.82,2338.650806,no
Male,0,64,yes,Fiber optic,Month-to-month,yes,Mailed check,20.41,1256.65,yes
Male,0,46,yes,fibre optic,1 year,no,Mailed check,33.37,1491.85,no
Female,0,27,no,DSL,One year,yes,Credit card,89.95,2402.37,no
Male,1,25,yes,Fiber optic,One year,no,Electronic check,93.07,2373.85,no
Male,0,33,yes,No,Month-to-month,no,Bank transfer,55.89,1873.78,no
Male,0,11,yes,DSL,Month-to-month,no,Credit card,86.07,978.19,yes
Female,1,43,yes,Fiber optic,Month-to-month,no,Bank transfer,100,4242.58,no
Male,0,55,yes,No,Month-to-month,yes,Electronic check,79.43,4517.64,no
Female,0,65,yes,Fiber optic,Month-to-month,yes,Electronic check,59.67,2338.650806,yes
Male,0,13,yes,DSL,Two year,no,Credit card,74.98,953.44,no
Male,0,56,yes,DSL,Month-to-month,yes,Bank transfer,67.5,3868.84,yes
Female,0,28,yes,DSL,Month-to-month,yes,Credit card,80.51,2246.92,no
Female,0,27,yes,fibre optic,Month-to-month,yes,Bank transfer,31.48,832.14,yes
Female,0,6,yes,Fiber optic,Two year,no,Mailed check,98.74,585.06,no
Male,0,50,yes,Fiber optic,Month-to-month,yes,Electronic check,33.77,1649.37,yes
Male,0,1,yes,Fiber optic,Month-to-month,yes,Bank transfer,80,76.4,no
Female,0,56,yes,Fiber optic,Month-to-month,yes,Credit card,58.22,3246.49,no
Male,0,40,yes,No,Month-to-month,yes,Credit card,94.72,3838.02,no
Male,0,11,yes,Fiber optic,One year,no,Mailed check,44.15,509.86,no
Male,0,21,yes,DSL,Two year,no,Credit card,43.49,936.62,no
Female,0,61,yes,DSL,Month-to-month,no,Mailed check,29.52,1817.37,no
Male,0,41,yes,Fiber optic,One year,no,Bank transfer,104.42,2338.650806,no
Female,0,61,yes,DSL,One year,yes,Bank transfer,91.15,5422.41,yes
Female,0,27,yes,Fiber optic,One year,yes,Credit card,57.5,1611.83,no
Female,0,8,yes,DSL,2 year,yes,Mailed check,32.41,248.09,no
Female,1,46,no,Fiber optic,Month-to-month,no,Credit card,23.08,1053.64,yes
Male,0,50,no,Fiber optic,Two year,yes,Electronic check,48.76,2326.16,no
Female,0,34,no,Fiber optic,Month-to-month,yes,Electronic check,99.91,3371.41,yes
Female,0,40,no,No,Month-to-month,yes,Credit card,108.42,4356.77,no
Male,0,7,yes,Fiber optic,2 year,yes,Credit card,95.9,658.2,no
Female,0,65,yes,No,One year,yes,Electronic check,100.89,6465.49,no
Female,0,70,yes,Fiber optic,One year,yes,Mailed check,47.86,3474.78,no
Female,0,32,yes,Fiber optic,Month-to-month,no,Electronic check,47.04,1546,yes
Female,1,8,yes,No,Month-to-month,no,Credit card,108.29,871.07,no
Female,0,59,yes,Fiber optic,Two year,yes,Electronic check,69.6,3971,no
Male,0,34,yes,DSL,Month-to-month,yes,Bank transfer,103.79,3681.82,yes
Female,0,60,no,Fiber optic,Month-to-month,no,Bank transfer,29.18,1812.45,no
Male,0,67,yes,Fiber optic,Month-to-month,yes,Electronic check,45.88,2338.650806,yes
Male,1,23,yes,No,Month-to-month,no,Credit card,38.84,881.23,no
Female,1,51,yes,DSL,One year,yes,Credit card,21.78,1147.63,no
Male,0,14,yes,No,One year,yes,Electronic check,55.9,780.76,no
Female,0,17,yes,DSL,One year,yes,Mailed check,100.51,1740.86,no
Male,1,16,yes,No,Month-to-month,no,Mailed check,69.2,1062.19,yes
Female,0,35,yes,Fiber optic,One year,no,Electronic check,109.9,3931.76,yes
Female,1,44,yes,Fiber optic,Two year,yes,Mailed check,96.57,4077.42,no
Male,1,8,yes,Fiber optic,Month-to-month,yes,Electronic check,64.79,532.43,yes
Female,0,24,yes,Fiber optic,Two year,yes,Electronic check,23.36,544.16,no
Male,0,34,yes,DSL,Month-to-month,no,Mailed check,90.2,3194.51,no
Male,0,26,yes,No,One year,yes,Credit card,78.74,2338.650806,no
Male,1,33,yes,DSL,Month-to-month,yes,Mailed check,97.41,3240.58,yes
Male,0,7,yes,DSL,Month-to-month,no,Bank transfer,24.02,168.67,yes
Male,0,3,yes,No,One year,yes,Electronic check,53.03,157.43,no
Female,1,28,yes,Fiber optic,One year,no,Mailed check,51.62,1382.18,no
Female,0,9,yes,Fiber optic,Month-to-month,no,Electronic check,25.54,224.09,yes
Male,0,50,yes,DSL,Two year,yes,Credit card,42.79,2173.1,no
Male,0,46,no,DSL,Month-to-month,no,Mailed check,52.07,2350.22,no
Female,0,49,yes,DSL,Month-to-month,yes,Credit card,63.89,3086.25,no
Female,0,4,yes,DSL,Two year,yes,Electronic check,60.39,244.34,no
Female,0,71,no,DSL,Month-to-month,yes,Electronic check,65.44,4694.1,no
Female,1,57,yes,No,Two year,yes,Mailed check,94.89,5449.41,no
Male,0,30,yes,No,Month-to-month,yes,Electronic check,63.45,2338.650806,no
Female,0,34,yes,Fiber optic,Month-to-month,yes,Electronic check,76.48,2601.98,yes
Female,0,23,yes,Fiber optic,Month-to-month,no,Bank transfer,80.53,1940.61,yes
Female,0,41,yes,Fiber optic,Month-to-month,no,Mailed check,35.26,1479.55,no
Female,0,40,yes,DSL,One year,yes,Credit card,38.38,1593.03,no
Female,0,26,yes,DSL,Month-to-month,yes,Electronic check,94.41,2489.98,no
Male,0,12,no,No,Month-to-month,yes,Bank transfer,77.01,878.46,no
Male,0,23,yes,No,Two year,yes,Electronic check,45.94,2338.650806,yes
Male,0,46,yes,DSL,Month-to-month,yes,Mailed check,101.14,4573.72,no
Female,0,48,yes,fibre optic,Month-to-month,no,Bank transfer,62.34,2896.45,no
Male,0,62,yes,DSL,One year,no,Credit card,68.17,4303.17,no
Male,0,11,yes,No,Month-to-month,no,Bank transfer,108.75,1246.23,yes
Male,0,47,yes,Fiber optic,Two year,yes,Mailed check,86.49,4165.74,no
Male,1,6,yes,No,monthly,yes,Bank transfer,45.07,257.84,yes
Female,0,68,yes,Fiber optic,Month-to-month,no,Electronic check,107.26,7453.92,no
Male,1,60,yes,No,Month-to-month,yes,Credit card,89.96,2338.650806,no
Female,0,52,yes,Fiber optic,Two year,yes,Mailed check,87.31,4607.06,no
Female,0,53,yes,DSL,Month-to-month,yes,Bank transfer,38.19,2021.96,yes
Female,0,33,yes,No,monthly,yes,Bank transfer,96.01,3098.23,yes
Male,0,25,yes,Fiber optic,One year,yes,Bank transfer,61.12,1472.73,no
Female,0,44,yes,Fiber optic,Month-to-month,yes,Electronic check,20.12,921.53,no
Male,0,21,yes,No,One year,yes,Credit card,77.96,1706.16,no
Female,0,13,yes,DSL,month to month,yes,Mailed check,35.33,455.85,no
Male,0,47,yes,DSL,Month-to-month,no,Electronic check,86.19,3867.55,no
Female,0,25,yes,DSL,Two year,no,Bank transfer,49.79,1260.17,no
Male,1,56,no,DSL,One year,no,Bank transfer,27.16,2338.650806,no
Female,1,11,yes,DSL,Month-to-month,no,Mailed check,102.2,1144.41,no
Female,0,28,yes,DSL,One year,no,Electronic check,75.48,2064.56,no
Female,1,24,yes,nan,Month-to-month,yes,Mailed check,88.25,2198.63,yes
Female,1,53,yes,No,Month-to-month,yes,Bank transfer,25.72,1373.76,yes
Male,0,54,yes,Fiber optic,One year,no,Bank transfer,84.91,4628.18,no
Female,0,59,yes,Fiber optic,Two year,yes,Bank transfer,61.35,3513.51,no
Male,1,10,yes,DSL,Month-to-month,no,Electronic check,57.74,596.96,yes
Female,0,7,yes,DSL,One year,yes,Electronic check,28.31,191.46,no
Female,0,49,no,Fiber optic,One year,no,Mailed check,78.3,3688.81,yes
Male,0,68,no,Fiber optic,Month-to-month,yes,Electronic check,24.75,1764.57,no
Female,0,5,yes,No,Month-to-month,yes,Electronic check,28.86,145.45,no
Male,0,59,no,DSL,Month-to-month,no,Mailed check,23.29,1316.84,yes
Female,0,25,yes,Fiber optic,month to month,no,Bank transfer,108.85,2605.5,yes
Female,0,44,yes,Fiber optic,Month-to-month,no,Electronic check,108.44,4557.55,no
Female,1,71,yes,No,Two year,yes,Credit card,60.68,4107.73,no
Male,0,19,yes,No,Month-to-month,yes,Mailed check,48.27,937.44,yes
Male,1,65,yes,No,Two year,yes,Mailed check,34.73,2301.22,no
Female,0,8,no,Fiber optic,Month-to-month,no,Electronic check,79.55,608.99,no
Male,0,14,yes,No,Month-to-month,no,Mailed check,56.25,795.06,no
Female,0,55,yes,Fiber optic,One year,yes,Bank transfer,82.57,4566.14,no
Female,0,57,no,No,month to month,yes,Electronic check,21.18,1153.69,no
Male,0,12,yes,DSL,One year,no,Electronic check,58.74,739.74,no
Male,0,13,yes,No,Month-to-month,yes,Mailed check,99.84,1337.25,no
Male,0,55,yes,No,Two year,no,Bank transfer,80.5,4288.19,no
Male,1,37,yes,nan,Month-to-month,yes,Credit card,22,811.13,no
Female,0,45,yes,Fiber optic,One year,no,Mailed check,41.62,1843.06,no
Male,0,55,no,No,Two year,yes,Mailed check,80.67,4598.82,no
Female,1,70,yes,DSL,Two year,no,Electronic check,80.23,5418.79,yes
Female,0,59,yes,fibre optic,One year,yes,Credit card,96.59,5710.53,no
Female,0,13,no,No,Month-to-month,no,Credit card,52.23,698.8,yes
Female,0,68,no,Fiber optic,One year,no,Credit card,29.43,1932.1,no
Male,0,21,yes,Fiber optic,Month-to-month,no,Electronic check,105.8,2317.48,no
Female,0,53,yes,No,month to month,yes,Credit card,96.11,5068.82,yes
Male,1,17,yes,No,Month-to-month,yes,Bank transfer,101.83,1752.77,yes
Female,0,49,yes,DSL,Two year,yes,Electronic check,95.07,4531.91,no
Female,0,40,yes,DSL,One year,no,Credit card,85.84,3478.71,no
Male,0,40,yes,DSL,One year,no,Electronic check,95.87,3818.8,no
Male,0,3,yes,No,Month-to-month,yes,Bank transfer,30,87.81,no
Female,0,36,no,Fiber optic,One year,yes,Mailed check,58.39,2041.03,no
Male,0,34,yes,No,Month-to-month,no,Electronic check,54.04,2338.650806,no
Male,0,53,yes,DSL,Month-to-month,no,Mailed check,22.77,1226.04,no
Female,1,20,yes,Fiber optic,Two year,yes,Bank transfer,67.74,1371.74,yes
Female,0,25,yes,DSL,Month-to-month,yes,Credit card,32.54,778.85,no
Female,0,61,yes,Fiber optic,Two year,yes,Bank transfer,29.74,1786.66,no
Male,0,26,yes,No,month to month,yes,Electronic check,20.16,506.72,no
Male,0,3,yes,DSL,Month-to-month,yes,Mailed check,100.78,306.16,no
Male,1,27,yes,Fiber optic,One year,yes,Electronic check,80.56,2268.11,no
Female,1,17,yes,No,Month-to-month,no,Electronic check,84.39,1436.71,yes
Male,0,58,no,No,monthly,yes,Mailed check,53.53,2960.28,yes
Female,0,48,yes,Fiber optic,Month-to-month,yes,Bank transfer,83.38,4139.75,no
Male,0,36,yes,fibre optic,Month-to-month,no,Electronic check,32.02,1162.72,no
Male,1,62,yes,Fiber optic,One year,yes,Bank transfer,31.22,2338.650806,yes
Female,0,58,yes,DSL,Two year,no,Mailed check,53.86,3248.91,no
Female,0,12,yes,No,Two year,yes,Mailed check,81.79,2338.650806,yes
Female,0,58,no,Fiber optic,Month-to-month,yes,Electronic check,109.3,6417.36,no
Female,0,29,yes,No,monthly,no,Bank transfer,47.85,1353.85,no
Female,0,39,yes,Fiber optic,Month-to-month,yes,Bank transfer,27.84,1034.95,yes
Female,0,4,yes,DSL,Two year,no,Electronic check,44.48,179.67,no
Male,0,66,yes,Fiber optic,Two year,no,Bank transfer,82.79,5444.75,no
Female,0,27,yes,Fiber optic,One year,no,Credit card,59.33,1677.05,no
Male,0,22,yes,Fiber optic,Month-to-month,yes,Credit card,32.31,744.94,no
Male,0,25,yes,DSL,Month-to-month,no,Mailed check,67.14,1640.7,no
Female,1,17,yes,DSL,One year,no,Mailed check,77.28,1298.92,yes
Female,0,46,no,No,Month-to-month,yes,Mailed check,37.77,1725.74,no
Male,1,16,yes,DSL,Month-to-month,no,Electronic check,107.18,1754.22,yes
Female,0,35,yes,DSL,Two year,yes,Mailed check,51.71,1899.7,no
Male,0,47,yes,DSL,Month-to-month,no,Electronic check,66.12,3165.35,no
Male,0,13,yes,DSL,Month-to-month,yes,Bank transfer,50.52,657.71,no
Female,0,68,yes,No,Month-to-month,yes,Credit card,31.36,2338.650806,yes
Female,0,9,yes,DSL,Month-to-month,yes,Credit card,97.15,857.28,no
Female,0,54,yes,DSL,Month-to-month,no,Electronic check,30.22,1550.6,no
Male,0,40,yes,Fiber optic,Month-to-month,no,Electronic check,78.43,3234.62,yes
Female,0,53,yes,nan,month to month,yes,Electronic check,44.79,2285.81,no
Female,0,12,yes,DSL,One year,yes,Mailed check,64.96,791.69,no
Female,0,33,yes,DSL,month to month,yes,Bank transfer,29.99,2338.650806,yes
Female,0,15,yes,DSL,Month-to-month,yes,Bank transfer,47.31,677.09,no
Male,0,49,yes,DSL,One year,yes,Bank transfer,39.42,2019.06,no
Female,0,51,yes,Fiber optic,Month-to-month,yes,Bank transfer,109.04,5504.17,no
Male,0,62,yes,Fiber optic,Month-to-month,yes,Bank transfer,76.48,4522.75,no
Male,0,65,yes,DSL,monthly,no,Bank transfer,49.98,3275.95,no
Female,1,62,no,Fiber optic,Month-to-month,no,Credit card,79.77,5134.53,yes
Female,0,25,no,No,Month-to-month,yes,Credit card,62.84,1560.73,no
Female,0,15,yes,fiberoptic,One year,yes,Mailed check,26.31,407.3,no
Male,0,3,no,No,Month-to-month,yes,Mailed check,81.12,241.61,no
Female,0,7,yes,fiberoptic,Month-to-month,no,Credit card,87.34,611.51,yes
Male,0,32,yes,DSL,One year,yes,Mailed check,46.35,1514.33,no
Female,0,34,yes,DSL,Month-to-month,yes,Electronic check,45.68,1579.63,yes
Male,0,12,yes,Fiber optic,Month-to-month,yes,Credit card,38.7,445.29,yes
Male,0,55,yes,No,1 year,no,Bank transfer,107.12,5877.12,yes
Female,0,27,no,Fiber optic,One year,no,Electronic check,53.01,1367.58,no
Female,0,11,yes,No,One year,yes,Mailed check,80.1,853.69,no
Female,0,68,yes,nan,Month-to-month,yes,Credit card,47.49,3231.96,no
Male,0,48,yes,DSL,Two year,no,Credit card,68.83,3236.07,no
Female,0,45,yes,DSL,Month-to-month,no,Bank transfer,64.02,2878.21,no
Male,0,35,yes,nan,Two year,yes,Credit card,78.58,2733.37,yes
Female,0,47,yes,Fiber optic,Month-to-month,no,Bank transfer,48.79,2353.97,yes
Female,0,19,yes,DSL,One year,yes,Electronic check,32.04,592.01,no
Male,0,19,yes,Fiber optic,Month-to-month,yes,Bank transfer,21.63,2338.650806,yes
Male,0,68,yes,Fiber optic,One year,yes,Mailed check,102.27,7277.31,no
Female,0,17,yes,DSL,Month-to-month,no,Mailed check,63.26,1099.79,no
Male,1,31,yes,No,Month-to-month,no,Electronic check,95.9,2857.99,no
Male,0,41,yes,No,Two year,yes,Electronic check,42.79,1693.7,no
Male,0,37,yes,DSL,Two year,yes,Mailed check,35.8,1342.32,no
Male,1,17,yes,DSL,Two year,yes,Credit card,55.25,908.48,no
Female,0,54,yes,Fiber optic,Two year,yes,Electronic check,57.49,3092.77,no
